,Post,Title,Replies,Views,Comment#,Query,Contents,Len,Days,Link,visit,read,topic,posts,given,received,topic_c,post_c,HelpLabel,AnswerLabel
188,23,Pixhawk flyaway in stabilized mode with complete loss of control?,6,2193,2,"A little background. This flyaway occurred on a dji s900 setup with an authentic Pixhawk fc, dji hardware, and an ImmersionRX Ezuhf diversity receiver. I’ve flown this setup countless times in loiter, auto, and stabilized flight modes without problem. My transmitter is a Taranis Plus with ImmersionRC EzUhf transmitter module. I always fly with missionPlanner open and connected on a ground station laptop and have had success with using that radio connection for flight mode changing / auto mission waypoint selection. * Now for the flyaway. * from partway through the flyaway. The Diversity monitor I was using at the time of the flight didn’t have a DVR so the only dvr I have is when it was already out of sight and I grabbed my FPV goggles and started recording with its DVR. The craft was on an auto mission (~200 meters away) when it suddenly tipped forward and to the right and then started acting very weird (while in auto ie shouldnt have been happening). I immediately switched to loiter which gave limmited control and I tried to bring it back to me. It still wasn’t responding correctly though and so I switched to stabilized mode which still yielded little to no control. The craft wasn’t losing altitude, just not responding correctly to my commands. At this point it had come back and was only about 100 meters away from me at about 200 feet altitude. At this point I could see from its FPV feed, from a hard mounted FPV cam, that my attempts to yaw or roll the craft with my transmitter in all flight modes were not having any effect on it. As the radio was having no control of the aircraft I tried switching the craft to guided mode and flying home via my groundstation laptop with no success. I then tried switching the mode to RTH from the ground station with still no success despite the ground station receiving full telemetry of the aircraft. At this point I switched to failsafe mode on my transmitter, but the craft continued to switch itself back and forth between loiter and stabilized mode rapidly. It passed me at this point in the opposite direction of its auto mission and then seemed to get stuck in stabilized mode and started flying full throttle away at a 24 degree heading (I’ve had the transmitter in RTH mode for a while now). It ended up flying full throttle for about 12 minutes before coming down about 3 miles away. I have looked at the logs in mission planner etc and can’t figure out what exactly happened. It would seem that the pixhawk had some sort of signal loss from the receiver, and that it didn’t switch to failsafe (RTH) when it lost said signal. Any advice or insight on the cause of such a flyaway would be great! * (4.3 MB)","I had a similar issue the other day. Except mine wasn’t switching flight modes before the total signal loss. I was auto tuning the pitch axis when all the sudden I had no control. I didnt get any kind of a warning or anything. I am using frsky hardware and a 9xr pro. Luckily a tree stopped mine, I have not had it happen again and had never had issues before. I also did not have a failsafe setup due to the fact that I had just built the quad and was tuning everything. I hope you can solve the issue or at least figure out what caused it. Let us know if you do.",564,1,0,33,7h,77,584,0,6,13,42,0,0
189,23,Pixhawk flyaway in stabilized mode with complete loss of control?,6,2193,3,"A little background. This flyaway occurred on a dji s900 setup with an authentic Pixhawk fc, dji hardware, and an ImmersionRX Ezuhf diversity receiver. I’ve flown this setup countless times in loiter, auto, and stabilized flight modes without problem. My transmitter is a Taranis Plus with ImmersionRC EzUhf transmitter module. I always fly with missionPlanner open and connected on a ground station laptop and have had success with using that radio connection for flight mode changing / auto mission waypoint selection. * Now for the flyaway. * from partway through the flyaway. The Diversity monitor I was using at the time of the flight didn’t have a DVR so the only dvr I have is when it was already out of sight and I grabbed my FPV goggles and started recording with its DVR. The craft was on an auto mission (~200 meters away) when it suddenly tipped forward and to the right and then started acting very weird (while in auto ie shouldnt have been happening). I immediately switched to loiter which gave limmited control and I tried to bring it back to me. It still wasn’t responding correctly though and so I switched to stabilized mode which still yielded little to no control. The craft wasn’t losing altitude, just not responding correctly to my commands. At this point it had come back and was only about 100 meters away from me at about 200 feet altitude. At this point I could see from its FPV feed, from a hard mounted FPV cam, that my attempts to yaw or roll the craft with my transmitter in all flight modes were not having any effect on it. As the radio was having no control of the aircraft I tried switching the craft to guided mode and flying home via my groundstation laptop with no success. I then tried switching the mode to RTH from the ground station with still no success despite the ground station receiving full telemetry of the aircraft. At this point I switched to failsafe mode on my transmitter, but the craft continued to switch itself back and forth between loiter and stabilized mode rapidly. It passed me at this point in the opposite direction of its auto mission and then seemed to get stuck in stabilized mode and started flying full throttle away at a 24 degree heading (I’ve had the transmitter in RTH mode for a while now). It ended up flying full throttle for about 12 minutes before coming down about 3 miles away. I have looked at the logs in mission planner etc and can’t figure out what exactly happened. It would seem that the pixhawk had some sort of signal loss from the receiver, and that it didn’t switch to failsafe (RTH) when it lost said signal. Any advice or insight on the cause of such a flyaway would be great! * (4.3 MB)","This is what I thought, but why would it fly at full throttle and 19 meters / second for that entire time. Wouldnt 1500 rc inputs just have it hovering in stabilized mode?",171,1,0,274,23h,317,5.1k,11,4,11,37,0,0
190,23,Pixhawk flyaway in stabilized mode with complete loss of control?,6,2193,4,"A little background. This flyaway occurred on a dji s900 setup with an authentic Pixhawk fc, dji hardware, and an ImmersionRX Ezuhf diversity receiver. I’ve flown this setup countless times in loiter, auto, and stabilized flight modes without problem. My transmitter is a Taranis Plus with ImmersionRC EzUhf transmitter module. I always fly with missionPlanner open and connected on a ground station laptop and have had success with using that radio connection for flight mode changing / auto mission waypoint selection. * Now for the flyaway. * from partway through the flyaway. The Diversity monitor I was using at the time of the flight didn’t have a DVR so the only dvr I have is when it was already out of sight and I grabbed my FPV goggles and started recording with its DVR. The craft was on an auto mission (~200 meters away) when it suddenly tipped forward and to the right and then started acting very weird (while in auto ie shouldnt have been happening). I immediately switched to loiter which gave limmited control and I tried to bring it back to me. It still wasn’t responding correctly though and so I switched to stabilized mode which still yielded little to no control. The craft wasn’t losing altitude, just not responding correctly to my commands. At this point it had come back and was only about 100 meters away from me at about 200 feet altitude. At this point I could see from its FPV feed, from a hard mounted FPV cam, that my attempts to yaw or roll the craft with my transmitter in all flight modes were not having any effect on it. As the radio was having no control of the aircraft I tried switching the craft to guided mode and flying home via my groundstation laptop with no success. I then tried switching the mode to RTH from the ground station with still no success despite the ground station receiving full telemetry of the aircraft. At this point I switched to failsafe mode on my transmitter, but the craft continued to switch itself back and forth between loiter and stabilized mode rapidly. It passed me at this point in the opposite direction of its auto mission and then seemed to get stuck in stabilized mode and started flying full throttle away at a 24 degree heading (I’ve had the transmitter in RTH mode for a while now). It ended up flying full throttle for about 12 minutes before coming down about 3 miles away. I have looked at the logs in mission planner etc and can’t figure out what exactly happened. It would seem that the pixhawk had some sort of signal loss from the receiver, and that it didn’t switch to failsafe (RTH) when it lost said signal. Any advice or insight on the cause of such a flyaway would be great! * (4.3 MB)","Just a quick thought. When I had my issue The RX was only getting power through the pixhawk, I didnt have a separate BEC powering the rail. I have since added a BEC, redundancy is never a bad thing right? Anyway, I got to thinking that maybe voltage fluctuations could of caused my issue. I have not had anything weird happen since adding the BEC.",347,1,0,33,7h,77,584,0,6,13,42,1,0
191,23,Pixhawk flyaway in stabilized mode with complete loss of control?,6,2193,5,"A little background. This flyaway occurred on a dji s900 setup with an authentic Pixhawk fc, dji hardware, and an ImmersionRX Ezuhf diversity receiver. I’ve flown this setup countless times in loiter, auto, and stabilized flight modes without problem. My transmitter is a Taranis Plus with ImmersionRC EzUhf transmitter module. I always fly with missionPlanner open and connected on a ground station laptop and have had success with using that radio connection for flight mode changing / auto mission waypoint selection. * Now for the flyaway. * from partway through the flyaway. The Diversity monitor I was using at the time of the flight didn’t have a DVR so the only dvr I have is when it was already out of sight and I grabbed my FPV goggles and started recording with its DVR. The craft was on an auto mission (~200 meters away) when it suddenly tipped forward and to the right and then started acting very weird (while in auto ie shouldnt have been happening). I immediately switched to loiter which gave limmited control and I tried to bring it back to me. It still wasn’t responding correctly though and so I switched to stabilized mode which still yielded little to no control. The craft wasn’t losing altitude, just not responding correctly to my commands. At this point it had come back and was only about 100 meters away from me at about 200 feet altitude. At this point I could see from its FPV feed, from a hard mounted FPV cam, that my attempts to yaw or roll the craft with my transmitter in all flight modes were not having any effect on it. As the radio was having no control of the aircraft I tried switching the craft to guided mode and flying home via my groundstation laptop with no success. I then tried switching the mode to RTH from the ground station with still no success despite the ground station receiving full telemetry of the aircraft. At this point I switched to failsafe mode on my transmitter, but the craft continued to switch itself back and forth between loiter and stabilized mode rapidly. It passed me at this point in the opposite direction of its auto mission and then seemed to get stuck in stabilized mode and started flying full throttle away at a 24 degree heading (I’ve had the transmitter in RTH mode for a while now). It ended up flying full throttle for about 12 minutes before coming down about 3 miles away. I have looked at the logs in mission planner etc and can’t figure out what exactly happened. It would seem that the pixhawk had some sort of signal loss from the receiver, and that it didn’t switch to failsafe (RTH) when it lost said signal. Any advice or insight on the cause of such a flyaway would be great! * (4.3 MB)",Did you ever figure out what the issue was?,43,1159,0,4,1h,40,196,4,0,0,5,0,0
192,23,Pixhawk flyaway in stabilized mode with complete loss of control?,6,2193,6,"A little background. This flyaway occurred on a dji s900 setup with an authentic Pixhawk fc, dji hardware, and an ImmersionRX Ezuhf diversity receiver. I’ve flown this setup countless times in loiter, auto, and stabilized flight modes without problem. My transmitter is a Taranis Plus with ImmersionRC EzUhf transmitter module. I always fly with missionPlanner open and connected on a ground station laptop and have had success with using that radio connection for flight mode changing / auto mission waypoint selection. * Now for the flyaway. * from partway through the flyaway. The Diversity monitor I was using at the time of the flight didn’t have a DVR so the only dvr I have is when it was already out of sight and I grabbed my FPV goggles and started recording with its DVR. The craft was on an auto mission (~200 meters away) when it suddenly tipped forward and to the right and then started acting very weird (while in auto ie shouldnt have been happening). I immediately switched to loiter which gave limmited control and I tried to bring it back to me. It still wasn’t responding correctly though and so I switched to stabilized mode which still yielded little to no control. The craft wasn’t losing altitude, just not responding correctly to my commands. At this point it had come back and was only about 100 meters away from me at about 200 feet altitude. At this point I could see from its FPV feed, from a hard mounted FPV cam, that my attempts to yaw or roll the craft with my transmitter in all flight modes were not having any effect on it. As the radio was having no control of the aircraft I tried switching the craft to guided mode and flying home via my groundstation laptop with no success. I then tried switching the mode to RTH from the ground station with still no success despite the ground station receiving full telemetry of the aircraft. At this point I switched to failsafe mode on my transmitter, but the craft continued to switch itself back and forth between loiter and stabilized mode rapidly. It passed me at this point in the opposite direction of its auto mission and then seemed to get stuck in stabilized mode and started flying full throttle away at a 24 degree heading (I’ve had the transmitter in RTH mode for a while now). It ended up flying full throttle for about 12 minutes before coming down about 3 miles away. I have looked at the logs in mission planner etc and can’t figure out what exactly happened. It would seem that the pixhawk had some sort of signal loss from the receiver, and that it didn’t switch to failsafe (RTH) when it lost said signal. Any advice or insight on the cause of such a flyaway would be great! * (4.3 MB)",Yes. Aircraft build/configuration issue. The EzUHF control link failsafe was set to stabilized mode with mid stick throttle. When the EzUHF lost signal the aircraft started to climb due to throttle position and drift down wind. Had the RC failsafe been set to RTL or basically anything else it would have been recoverable. Takeaway: Don’t trust that someone else has setup or configured the aircraft properly. Do all the checks prior to flying!,444,1257,0,274,23h,317,5.1k,11,4,11,37,1,1
193,24,YAW: AHR2 vs ATT,2,1585,1,"Hi everybody, I searched a lot regarding AHR2 and ATT. Does anybody know what is their difference? I’m going to use Yaw and both give this to me but what is the difference and which of them is the “good one”? Thank you","Gael: I am wondering the same thing… and also in particular if and how either or both take into account compass readings from any magnetometers. Have you had any luck figuring this out? It would seem possible that ATT is just a subset (roll/pitch/yaw) of AHR2, though in my data set (for APM:Rover) the Des*** parameters of attitude are set to zero (which I was able to find in the code on Github), and the parameters don’t seem to exactly match up, which indicates to me that they are different.",496,91,0,7,1h,24,107,1,1,1,2,0.6667,0
194,24,YAW: AHR2 vs ATT,2,1585,2,"Hi everybody, I searched a lot regarding AHR2 and ATT. Does anybody know what is their difference? I’m going to use Yaw and both give this to me but what is the difference and which of them is the “good one”? Thank you","AHR2 data is computed by AHRS DCM law, but ATT data is computed by AHRS EKF2 law if you set param “EK2_Enabled =1”.",115,540,0,71,20h,234,1.5k,0,2,7,17,1,0
195,25,Crash cause analysis,24,3903,1,"Hello everybody! Seems like I will need your help. We got the new custom-made drone back in September. We did two test flights with it, it seemed to work fine, but on the second flight, it crashed. It crashed very unexpectedly. We were flying on the height of cca 5m AGL in the Loiter mode, and while there was no input from our side (it was in the same position for some time), it started swinging in the pitch direction viciously (DesPitch and Pitch graph below) and soon (a few seconds later) crashed. In my opinion, it looks like ESC failure. The firmware used is v3.5.7. Copter type is OctaQuad X frame Autopilot is the Cube I will provide the *.bin file in the attachment of the flight that ended up with the crash and one just few minutes before it when it did not crash. Here is the auto analysis, but some of the checks are not representative because the cause of the errors happened after the crash (e.g. Test: Compass = FAIL - Large change in mag_field (42.77%)). Log File C:\Users\Luka Jurjevic\AppData\Local\Temp\tmp6C21.tmp.log Size (kb) 18951.228515625 No of lines 272453 Duration 0:02:36 Vehicletype ArduCopter Firmware Version V3.5.7 Firmware Hash b11c6af3 Hardware Type Free Mem 0 Skipped Lines 0 Test: Autotune = UNKNOWN - No ATUN log data Test: Brownout = GOOD - Test: Compass = FAIL - Large change in mag_field (42.77%) Test: Dupe Log Data = GOOD - Test: Empty = GOOD - Test: Event/Failsafe = GOOD - Test: GPS = GOOD - Test: IMU Mismatch = UNKNOWN - No IMU log data Test: Motor Balance = WARN - Motor channel averages = [1555, 1511, 1583, 1508, 1566, 1493, 1569, 1529] Average motor output = 1539 Difference between min and max motor averages = 90 Test: NaNs = GOOD - Test: OpticalFlow = FAIL - FAIL: no optical flow data Test: Parameters = FAIL - ‘THR_MIN’ not found Test: PM = FAIL - 13 slow loop lines found, max 24.82% on line 107496 Test: Pitch/Roll = UNKNOWN - ‘BarAlt’ Test: Thrust = GOOD - Test: VCC = GOOD - * So we blamed on the PID settings, but even after fixing the drone (which was quite expensive), and setting up the PID settings I am still not sure the issue is fixed. Also worth to note - PIDs are tunned with the dummy weight, while test flights are performed without any weight (camera payload). I would appreciate if somebody checks the ATT log data, I am still pretty new to all this and I can not pinpoint the errors. Here are the graphs of the accelerometer data and vibration graphs after fixing it and doing the test flight. Acc data seems to be way out of the recommended values (±3 for x and y, and -10±5 for z). Auto analysis: Log File C:\Users\Luka Jurjevic\AppData\Local\Temp\tmp3CBD.tmp.log Size (kb) 98867.263671875 No of lines 1443988 Duration 0:13:57 Vehicletype ArduCopter Firmware Version V3.5.7 Firmware Hash b11c6af3 Hardware Type Free Mem 0 Skipped Lines 0 Test: Autotune = UNKNOWN - No ATUN log data Test: Brownout = GOOD - Test: Compass = GOOD - mag_field interference within limits (1.79%) Test: Dupe Log Data = GOOD - Test: Empty = GOOD - Test: Event/Failsafe = GOOD - Test: GPS = GOOD - Test: IMU Mismatch = UNKNOWN - No IMU log data Test: Motor Balance = GOOD - Motor channel averages = [1646, 1610, 1586, 1606, 1619, 1638, 1615, 1576] Average motor output = 1612 Difference between min and max motor averages = 70 Test: NaNs = GOOD - Test: OpticalFlow = FAIL - FAIL: no optical flow data Test: Parameters = FAIL - ‘THR_MIN’ not found Test: PM = FAIL - 72 slow loop lines found, max 26.17% on line 1284280 Test: Pitch/Roll = GOOD - Test: Thrust = GOOD - Test: VCC = GOOD - *   *   * LOGS: * Any help will be greatly appreciated! Thanks!","Hello, Not easy, but some clues… Can you confirm, weight, size, motors and propellers. There is something strange (like some motor are misplaced or not, mission planner log graph is better) when I look RC_OUT log. Can you check that each esc-motor group is well connected to the right RC Out plug. On the latest log (after repair) there is a problem with compass switching during all flight. Marc",396,0,0,2.3k,12d,9.5k,60.7k,2,59,10,407,0.6667,0
196,25,Crash cause analysis,24,3903,2,"Hello everybody! Seems like I will need your help. We got the new custom-made drone back in September. We did two test flights with it, it seemed to work fine, but on the second flight, it crashed. It crashed very unexpectedly. We were flying on the height of cca 5m AGL in the Loiter mode, and while there was no input from our side (it was in the same position for some time), it started swinging in the pitch direction viciously (DesPitch and Pitch graph below) and soon (a few seconds later) crashed. In my opinion, it looks like ESC failure. The firmware used is v3.5.7. Copter type is OctaQuad X frame Autopilot is the Cube I will provide the *.bin file in the attachment of the flight that ended up with the crash and one just few minutes before it when it did not crash. Here is the auto analysis, but some of the checks are not representative because the cause of the errors happened after the crash (e.g. Test: Compass = FAIL - Large change in mag_field (42.77%)). Log File C:\Users\Luka Jurjevic\AppData\Local\Temp\tmp6C21.tmp.log Size (kb) 18951.228515625 No of lines 272453 Duration 0:02:36 Vehicletype ArduCopter Firmware Version V3.5.7 Firmware Hash b11c6af3 Hardware Type Free Mem 0 Skipped Lines 0 Test: Autotune = UNKNOWN - No ATUN log data Test: Brownout = GOOD - Test: Compass = FAIL - Large change in mag_field (42.77%) Test: Dupe Log Data = GOOD - Test: Empty = GOOD - Test: Event/Failsafe = GOOD - Test: GPS = GOOD - Test: IMU Mismatch = UNKNOWN - No IMU log data Test: Motor Balance = WARN - Motor channel averages = [1555, 1511, 1583, 1508, 1566, 1493, 1569, 1529] Average motor output = 1539 Difference between min and max motor averages = 90 Test: NaNs = GOOD - Test: OpticalFlow = FAIL - FAIL: no optical flow data Test: Parameters = FAIL - ‘THR_MIN’ not found Test: PM = FAIL - 13 slow loop lines found, max 24.82% on line 107496 Test: Pitch/Roll = UNKNOWN - ‘BarAlt’ Test: Thrust = GOOD - Test: VCC = GOOD - * So we blamed on the PID settings, but even after fixing the drone (which was quite expensive), and setting up the PID settings I am still not sure the issue is fixed. Also worth to note - PIDs are tunned with the dummy weight, while test flights are performed without any weight (camera payload). I would appreciate if somebody checks the ATT log data, I am still pretty new to all this and I can not pinpoint the errors. Here are the graphs of the accelerometer data and vibration graphs after fixing it and doing the test flight. Acc data seems to be way out of the recommended values (±3 for x and y, and -10±5 for z). Auto analysis: Log File C:\Users\Luka Jurjevic\AppData\Local\Temp\tmp3CBD.tmp.log Size (kb) 98867.263671875 No of lines 1443988 Duration 0:13:57 Vehicletype ArduCopter Firmware Version V3.5.7 Firmware Hash b11c6af3 Hardware Type Free Mem 0 Skipped Lines 0 Test: Autotune = UNKNOWN - No ATUN log data Test: Brownout = GOOD - Test: Compass = GOOD - mag_field interference within limits (1.79%) Test: Dupe Log Data = GOOD - Test: Empty = GOOD - Test: Event/Failsafe = GOOD - Test: GPS = GOOD - Test: IMU Mismatch = UNKNOWN - No IMU log data Test: Motor Balance = GOOD - Motor channel averages = [1646, 1610, 1586, 1606, 1619, 1638, 1615, 1576] Average motor output = 1612 Difference between min and max motor averages = 70 Test: NaNs = GOOD - Test: OpticalFlow = FAIL - FAIL: no optical flow data Test: Parameters = FAIL - ‘THR_MIN’ not found Test: PM = FAIL - 72 slow loop lines found, max 26.17% on line 1284280 Test: Pitch/Roll = GOOD - Test: Thrust = GOOD - Test: VCC = GOOD - *   *   * LOGS: * Any help will be greatly appreciated! Thanks!","Hello! Thank you for the reply! This is the drone itself * With the full payload it has 9kg, but during our flights it did not have a camera and gimbal, so I would say it is around 7kg. Do you mean that they are physically displaced? Wouldnt that result in the crash soon after takeoff? I do not see the same problem in the log after the repairing, RCOUT seems to be ok there. I can’t confirm that they are all well connected since I did not do it, but I will be able to confirm it on Monday. I will check the compass issue, at the moment I do not know what could have caused that.",581,1,1,386,2d,961,9.8k,10,8,4,36,0.3333,0
197,25,Crash cause analysis,24,3903,3,"Hello everybody! Seems like I will need your help. We got the new custom-made drone back in September. We did two test flights with it, it seemed to work fine, but on the second flight, it crashed. It crashed very unexpectedly. We were flying on the height of cca 5m AGL in the Loiter mode, and while there was no input from our side (it was in the same position for some time), it started swinging in the pitch direction viciously (DesPitch and Pitch graph below) and soon (a few seconds later) crashed. In my opinion, it looks like ESC failure. The firmware used is v3.5.7. Copter type is OctaQuad X frame Autopilot is the Cube I will provide the *.bin file in the attachment of the flight that ended up with the crash and one just few minutes before it when it did not crash. Here is the auto analysis, but some of the checks are not representative because the cause of the errors happened after the crash (e.g. Test: Compass = FAIL - Large change in mag_field (42.77%)). Log File C:\Users\Luka Jurjevic\AppData\Local\Temp\tmp6C21.tmp.log Size (kb) 18951.228515625 No of lines 272453 Duration 0:02:36 Vehicletype ArduCopter Firmware Version V3.5.7 Firmware Hash b11c6af3 Hardware Type Free Mem 0 Skipped Lines 0 Test: Autotune = UNKNOWN - No ATUN log data Test: Brownout = GOOD - Test: Compass = FAIL - Large change in mag_field (42.77%) Test: Dupe Log Data = GOOD - Test: Empty = GOOD - Test: Event/Failsafe = GOOD - Test: GPS = GOOD - Test: IMU Mismatch = UNKNOWN - No IMU log data Test: Motor Balance = WARN - Motor channel averages = [1555, 1511, 1583, 1508, 1566, 1493, 1569, 1529] Average motor output = 1539 Difference between min and max motor averages = 90 Test: NaNs = GOOD - Test: OpticalFlow = FAIL - FAIL: no optical flow data Test: Parameters = FAIL - ‘THR_MIN’ not found Test: PM = FAIL - 13 slow loop lines found, max 24.82% on line 107496 Test: Pitch/Roll = UNKNOWN - ‘BarAlt’ Test: Thrust = GOOD - Test: VCC = GOOD - * So we blamed on the PID settings, but even after fixing the drone (which was quite expensive), and setting up the PID settings I am still not sure the issue is fixed. Also worth to note - PIDs are tunned with the dummy weight, while test flights are performed without any weight (camera payload). I would appreciate if somebody checks the ATT log data, I am still pretty new to all this and I can not pinpoint the errors. Here are the graphs of the accelerometer data and vibration graphs after fixing it and doing the test flight. Acc data seems to be way out of the recommended values (±3 for x and y, and -10±5 for z). Auto analysis: Log File C:\Users\Luka Jurjevic\AppData\Local\Temp\tmp3CBD.tmp.log Size (kb) 98867.263671875 No of lines 1443988 Duration 0:13:57 Vehicletype ArduCopter Firmware Version V3.5.7 Firmware Hash b11c6af3 Hardware Type Free Mem 0 Skipped Lines 0 Test: Autotune = UNKNOWN - No ATUN log data Test: Brownout = GOOD - Test: Compass = GOOD - mag_field interference within limits (1.79%) Test: Dupe Log Data = GOOD - Test: Empty = GOOD - Test: Event/Failsafe = GOOD - Test: GPS = GOOD - Test: IMU Mismatch = UNKNOWN - No IMU log data Test: Motor Balance = GOOD - Motor channel averages = [1646, 1610, 1586, 1606, 1619, 1638, 1615, 1576] Average motor output = 1612 Difference between min and max motor averages = 70 Test: NaNs = GOOD - Test: OpticalFlow = FAIL - FAIL: no optical flow data Test: Parameters = FAIL - ‘THR_MIN’ not found Test: PM = FAIL - 72 slow loop lines found, max 26.17% on line 1284280 Test: Pitch/Roll = GOOD - Test: Thrust = GOOD - Test: VCC = GOOD - *   *   * LOGS: * Any help will be greatly appreciated! Thanks!","I will compare your settings with mine (OctoQuadX weight 5.4kg 15"" props).     ATC_ACCEL_Y_MAX 27000     ATC_RATE_FF_ENAB 1   ATC_ACCEL_R_MAX 110000   ATC_ACCEL_P_MAX 110000     These values are quite hight. I have 9000 Yaw and 48000 Roll and Pitch     ATC_RAT_RLL_P 0.30000001192092896     ATC_RAT_RLL_I 0.18000000715255737   ATC_RAT_RLL_D 0.00800000037997961   ATC_RAT_RLL_IMAX 0.4000000059604645     ATC RAT RLL/PIT I  : I have 0.1 (work in progress) ATC RAT RLL/PI D   : I slowed it to 0.005 as I had vibrations before take off. It is also a work in progress, Your crash was due to an uncontrolled pitch and roll oscillation. Reducing I and D could help to avoid the overshoot.",681,1,0,2.3k,12d,9.5k,60.7k,2,59,10,407,1,0
198,25,Crash cause analysis,24,3903,4,"Hello everybody! Seems like I will need your help. We got the new custom-made drone back in September. We did two test flights with it, it seemed to work fine, but on the second flight, it crashed. It crashed very unexpectedly. We were flying on the height of cca 5m AGL in the Loiter mode, and while there was no input from our side (it was in the same position for some time), it started swinging in the pitch direction viciously (DesPitch and Pitch graph below) and soon (a few seconds later) crashed. In my opinion, it looks like ESC failure. The firmware used is v3.5.7. Copter type is OctaQuad X frame Autopilot is the Cube I will provide the *.bin file in the attachment of the flight that ended up with the crash and one just few minutes before it when it did not crash. Here is the auto analysis, but some of the checks are not representative because the cause of the errors happened after the crash (e.g. Test: Compass = FAIL - Large change in mag_field (42.77%)). Log File C:\Users\Luka Jurjevic\AppData\Local\Temp\tmp6C21.tmp.log Size (kb) 18951.228515625 No of lines 272453 Duration 0:02:36 Vehicletype ArduCopter Firmware Version V3.5.7 Firmware Hash b11c6af3 Hardware Type Free Mem 0 Skipped Lines 0 Test: Autotune = UNKNOWN - No ATUN log data Test: Brownout = GOOD - Test: Compass = FAIL - Large change in mag_field (42.77%) Test: Dupe Log Data = GOOD - Test: Empty = GOOD - Test: Event/Failsafe = GOOD - Test: GPS = GOOD - Test: IMU Mismatch = UNKNOWN - No IMU log data Test: Motor Balance = WARN - Motor channel averages = [1555, 1511, 1583, 1508, 1566, 1493, 1569, 1529] Average motor output = 1539 Difference between min and max motor averages = 90 Test: NaNs = GOOD - Test: OpticalFlow = FAIL - FAIL: no optical flow data Test: Parameters = FAIL - ‘THR_MIN’ not found Test: PM = FAIL - 13 slow loop lines found, max 24.82% on line 107496 Test: Pitch/Roll = UNKNOWN - ‘BarAlt’ Test: Thrust = GOOD - Test: VCC = GOOD - * So we blamed on the PID settings, but even after fixing the drone (which was quite expensive), and setting up the PID settings I am still not sure the issue is fixed. Also worth to note - PIDs are tunned with the dummy weight, while test flights are performed without any weight (camera payload). I would appreciate if somebody checks the ATT log data, I am still pretty new to all this and I can not pinpoint the errors. Here are the graphs of the accelerometer data and vibration graphs after fixing it and doing the test flight. Acc data seems to be way out of the recommended values (±3 for x and y, and -10±5 for z). Auto analysis: Log File C:\Users\Luka Jurjevic\AppData\Local\Temp\tmp3CBD.tmp.log Size (kb) 98867.263671875 No of lines 1443988 Duration 0:13:57 Vehicletype ArduCopter Firmware Version V3.5.7 Firmware Hash b11c6af3 Hardware Type Free Mem 0 Skipped Lines 0 Test: Autotune = UNKNOWN - No ATUN log data Test: Brownout = GOOD - Test: Compass = GOOD - mag_field interference within limits (1.79%) Test: Dupe Log Data = GOOD - Test: Empty = GOOD - Test: Event/Failsafe = GOOD - Test: GPS = GOOD - Test: IMU Mismatch = UNKNOWN - No IMU log data Test: Motor Balance = GOOD - Motor channel averages = [1646, 1610, 1586, 1606, 1619, 1638, 1615, 1576] Average motor output = 1612 Difference between min and max motor averages = 70 Test: NaNs = GOOD - Test: OpticalFlow = FAIL - FAIL: no optical flow data Test: Parameters = FAIL - ‘THR_MIN’ not found Test: PM = FAIL - 72 slow loop lines found, max 26.17% on line 1284280 Test: Pitch/Roll = GOOD - Test: Thrust = GOOD - Test: VCC = GOOD - *   *   * LOGS: * Any help will be greatly appreciated! Thanks!",Can you comment on the DesPitch/Roll/Yaw and Pitch/Roll/Yaw from the log after repairing the copter? Do you think that PID settings are ok now?,143,2,0,386,2d,961,9.8k,10,8,4,36,0,0
